title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Mario no Super Picross    ,SNES,Nintendo  ,Jupiter Multimedia  ,N/A  ,N/A  ,0.41m,N/A,N/A,0.41m,0.00m,14th Sep 95  
Diner Dash: Sizzle & Serve    ,DS,Eidos Interactive  ,GameLab / PlayFirst  ,N/A  ,N/A  ,0.38m,0.33m,0.02m,N/A,0.03m,23rd May 07  
Scribblenauts: Unlimited    ,WiiU,Warner Bros. Interactive Entertainment  ,5TH Cell  ,7.0  ,N/A  ,0.38m,0.25m,0.10m,N/A,0.04m,18th Nov 12  
Hangman    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,0.38m,0.35m,0.02m,N/A,0.00m,01st Jan 78  
Kotoba no Puzzle: Mojipittan DS    ,DS,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,0.37m,N/A,N/A,0.37m,N/A,15th Mar 07  
Tetrisphere    ,N64,Nintendo  ,H2O Interactive  ,N/A  ,N/A  ,0.36m,0.29m,0.06m,N/A,0.00m,11th Aug 97  
Picross 2    ,GB,Nintendo  ,Jupiter Multimedia  ,N/A  ,N/A  ,0.35m,N/A,N/A,0.35m,0.00m,19th Oct 96  
Kurushi Final: Mental Blocks    ,PS,Sony Computer Entertainment  ,SCEI  ,N/A  ,N/A  ,0.34m,N/A,N/A,0.32m,0.02m,01st Aug 99  
Angry Birds: Star Wars    ,3DS,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.34m,0.15m,0.16m,N/A,0.03m,29th Oct 13  
Super Bust-A-Move    ,PS2,Acclaim Entertainment  ,Taito Corporation  ,N/A  ,N/A  ,0.34m,0.17m,0.13m,N/A,0.04m,26th Nov 00  
Puzzle Quest: Challenge of the Warlords    ,DS,D3 Publisher  ,1st Playable Productions  ,N/A  ,N/A  ,0.34m,0.28m,0.01m,0.03m,0.02m,20th Mar 07  
Bejeweled 3    ,DS,PopCap Games  ,PopCap Games  ,N/A  ,N/A  ,0.34m,0.29m,0.02m,N/A,0.03m,15th Nov 11  
Bomberman World    ,PS,Atlus  ,Hudson Soft  ,6.5  ,N/A  ,0.33m,0.06m,0.04m,0.22m,0.02m,22nd Sep 98  
BookWorm    ,DS,PopCap Games  ,PopCap Games  ,N/A  ,N/A  ,0.33m,0.30m,0.01m,N/A,0.02m,08th Dec 09  
Planet Puzzle League    ,DS,Nintendo  ,Intelligent Systems  ,8.6  ,N/A  ,0.33m,0.14m,0.01m,0.16m,0.01m,04th Jun 07  
Dr. Mario / Puzzle League    ,GBA,Nintendo  ,Intelligent Systems  ,7.5  ,N/A  ,0.33m,0.12m,0.04m,0.16m,0.01m,28th Nov 05  
Bust-A-Move '99    ,PS,Acclaim Entertainment  ,Taito Corporation  ,7.7  ,N/A  ,0.32m,0.18m,0.12m,N/A,0.02m,28th Feb 99  
Kurushi Final: Mental Blocks    ,PS,Sony Computer Entertainment  ,Sony Computer Entertainment  ,N/A  ,N/A  ,0.32m,N/A,N/A,0.32m,N/A,01st Aug 99  
Beautiful Katamari    ,X360,Namco Bandai  ,Now Production  ,7.3  ,N/A  ,0.32m,0.14m,0.02m,0.15m,0.02m,16th Oct 07  
Kirby's Block Ball    ,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,0.32m,N/A,N/A,0.32m,N/A,01st May 96  
